xi_0,xi_1,ui_0,xf_0,xf_1,uf_0
-18.94235616,-8.000797865,8.155072312,2.062777509,-0.007283148,-0.688032214
2.062777509,-0.007283148,-0.688032214,-0.190990797,0.113974128,-1.182396042
-0.190990797,0.113974128,-1.182396042,-2.096604589,-0.518837298,-1.950254264
-2.096604589,-0.518837298,-1.950254264,0.28266729,0.754298826,1.401422353
0.28266729,0.754298826,1.401422353,-97,-25,-26.17489407
-97,-25,-26.17489407,20.7022586,1.500000013,-3.674619002
20.7022586,1.500000013,-3.674619002,-4.369650765,-0.076596001,0.100494865
-4.369650765,-0.076596001,0.100494865,0.919652427,-0.033748711,-0.005137599
0.919652427,-0.033748711,-0.005137599,-0.193192903,0.017492136,-0.002254281
-0.193192903,0.017492136,-0.002254281,0.041411214,-0.005976862,0.001119377
0.041411214,-0.005976862,0.001119377,24,81,11.78430791
24,81,11.78430791,-0.827765686,-8.834663748,40.18534211
-0.827765686,-8.834663748,40.18534211,0.099914613,0.085369573,0.542648491
0.099914613,0.085369573,0.542648491,0.288326476,0.017851369,1.269927477
0.288326476,0.017851369,1.269927477,0.290943943,0.01738689,1.279083228
0.290943943,0.01738689,1.279083228,0.698852834,0.01167561,0.462847829
0.698852834,0.01167561,0.462847829,25,90,12.35236815
25,90,12.35236815,-0.891858332,-15.50361509,20.289966
-0.891858332,-15.50361509,20.289966,-1.557512042,-0.137770101,-3.136729509
-1.557512042,-0.137770101,-3.136729509,1.329158008,-0.03307733,1.497934461
1.329158008,-0.03307733,1.497934461,-2.654249091,-0.026860685,-3.441497327
-2.654249091,-0.026860685,-3.441497327,1.551805533,0.003323649,2.076078251
1.551805533,0.003323649,2.076078251,-86,50,-40.35141937
-86,50,-40.35141937,0.72949658,-9.634795012,9.547504036
0.72949658,-9.634795012,9.547504036,2.999549699,-5.793884236,-14.76401568
2.999549699,-5.793884236,-14.76401568,-5.347580307,-7.891330649,-7.640549791
-5.347580307,-7.891330649,-7.640549791,6.325596453,-0.556493487,-22.50110839
6.325596453,-0.556493487,-22.50110839,-5.042762347,-2.156073361,-12.36113301
-5.042762347,-2.156073361,-12.36113301,54,73,25.93471958
54,73,25.93471958,-5.103594968,-16.04300312,18.31137004
-5.103594968,-16.04300312,18.31137004,-0.328582335,-0.652196377,1.094339924
-0.328582335,-0.652196377,1.094339924,1.288348562,-0.169760457,1.789677551
1.288348562,-0.169760457,1.789677551,-2.014818847,-0.074979702,-4.283052978
-2.014818847,-0.074979702,-4.283052978,1.935598122,-0.017562019,1.336676102
1.935598122,-0.017562019,1.336676102,-68,13,-31.60268504
-68,13,-31.60268504,15.98305368,-3.406587414,2.187247227
15.98305368,-3.406587414,2.187247227,-2.825418286,0.169707551,0.732007635
-2.825418286,0.169707551,0.732007635,0.504180631,-0.072448987,-0.212816475
0.504180631,-0.072448987,-0.212816475,-0.09686579,0.095915064,-3.28709897
-0.09686579,0.095915064,-3.28709897,-0.000171435,-0.766131578,-1.071118517
-0.000171435,-0.766131578,-1.071118517,47,-23,11.47362969
47,-23,11.47362969,-9.593409521,1.500000012,-4.333425744
-9.593409521,1.500000012,-4.333425744,2.000223496,-0.421015737,0.100435731
2.000223496,-0.421015737,0.100435731,-0.415848472,0.110302397,-0.028189165
-0.415848472,0.110302397,-0.028189165,0.086288678,-0.0276964,0.007371999
0.086288678,-0.0276964,0.007371999,-0.018267084,0.006906682,-0.001772381
-0.018267084,0.006906682,-0.001772381,23,2,11.30479832
23,2,11.30479832,-4.864260563,-0.32603312,0.129493242
-4.864260563,-0.32603312,0.129493242,1.025387829,-0.012262285,-0.019853563
1.025387829,-0.012262285,-0.019853563,-0.215611567,0.009467957,-0.001365604
-0.215611567,0.009467957,-0.001365604,0.045211989,-0.006565668,0.000300625
0.045211989,-0.006565668,0.000300625,-0.009694396,0.000597202,-0.000688445
-0.009694396,0.000597202,-0.000688445,70,-61,6.440329925
70,-61,6.440329925,-13.9466513,1.500000014,-12.70020863
-13.9466513,1.500000014,-12.70020863,2.915522761,-0.470506059,0.100427234
2.915522761,-0.470506059,0.100427234,-0.607749119,0.131001373,-0.031501488
-0.607749119,0.131001373,-0.031501488,0.126447914,-0.034189626,0.008755217
0.126447914,-0.034189626,0.008755217,-0.026842371,0.008757943,-0.002187903
-0.026842371,0.008757943,-0.002187903,-82,88,-39.25754864
-82,88,-39.25754864,4.534877976,-13.50464396,37.71103812
4.534877976,-13.50464396,37.71103812,-3.875022323,0.14990225,-3.322560965
-3.875022323,0.14990225,-3.322560965,0.70426653,-0.085295146,-0.065116958
0.70426653,-0.085295146,-0.065116958,-1.230215669,0.015496506,-1.442254435
-1.230215669,0.015496506,-1.442254435,-1.951371426,-0.030230672,-1.695432483
-1.951371426,-0.030230672,-1.695432483,-100,35,-47.62634687
-100,35,-47.62634687,20.20310838,-8.595684033,1.297234885
20.20310838,-8.595684033,1.297234885,-2.089225445,-0.015937487,-2.338230776
-2.089225445,-0.015937487,-2.338230776,-0.20547919,-0.017851938,-0.996216894
-0.20547919,-0.017851938,-0.996216894,1.350190618,-0.167492783,-0.705895787
1.350190618,-0.167492783,-0.705895787,0.827118213,-0.062264583,-1.307075881
0.827118213,-0.062264583,-1.307075881,36,54,17.37569361
36,54,17.37569361,-0.914903992,-11.81192635,1.20143359
-0.914903992,-11.81192635,1.20143359,-0.065121488,0.023696162,-0.206712769
-0.065121488,0.023696162,-0.206712769,0.1458384,-0.009444978,0.798942698
0.1458384,-0.009444978,0.798942698,0.091786616,-0.007560801,0.25569002
0.091786616,-0.007560801,0.25569002,0.345615596,-0.002979195,-0.42070446
0.345615596,-0.002979195,-0.42070446,-25,-97,-1.498401638
-25,-97,-1.498401638,6.479605612,1.500000014,-19.74260249
6.479605612,1.500000014,-19.74260249,-1.379239369,-0.238287845,0.100467104
-1.379239369,-0.238287845,0.100467104,0.292686031,0.033877754,-0.015959424
0.292686031,0.033877754,-0.015959424,-0.061987032,-0.003722147,0.002264888
-0.061987032,-0.003722147,0.002264888,0.013394544,7.15E-05,-0.000238192
0.013394544,7.15E-05,-0.000238192,23,20,11.20289172
23,20,11.20289172,-5.552972238,-3.316137245,0.158067373
-5.552972238,-3.316137245,0.158067373,0.863133732,-0.630363928,0.07860883
0.863133732,-0.630363928,0.07860883,-0.207602448,-0.681708124,-3.737844962
-0.207602448,-0.681708124,-3.737844962,0.545270899,-0.391924171,4.343173953
0.545270899,-0.391924171,4.343173953,0.404511429,-0.801260155,-0.968505024
0.404511429,-0.801260155,-0.968505024,81,50,39.78012602
81,50,39.78012602,-8.414326974,-6.460627098,2.106583362
-8.414326974,-6.460627098,2.106583362,-0.021069314,-0.027931502,-0.106158563
-0.021069314,-0.027931502,-0.106158563,-0.150162393,-0.008133544,-0.096606362
-0.150162393,-0.008133544,-0.096606362,-0.015952877,-0.006982698,-0.007098407
-0.015952877,-0.006982698,-0.007098407,0.010858592,-0.008480071,0.002015781
0.010858592,-0.008480071,0.002015781,-83,3,-27.17729508
-83,3,-27.17729508,-2.579423979,-42.13474124,40.96484464
-2.579423979,-42.13474124,40.96484464,-7.654900289,-35.29201062,118.4847004
-7.654900289,-35.29201062,118.4847004,61.43090523,-1.458921726,-190.0694274
61.43090523,-1.458921726,-190.0694274,-39.41907489,2.172236222,-26.85802326
