,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,t,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,u0,u1,L,inst_cost,ctg,path_diff
2356,2356.0,2356.0,2356.0,6.0,0.6,331.0496,322.3929,315.2649,309.467,304.8243,301.1721,298.3475,296.1827,294.4933,293.0626,291.6202,289.822,287.2385,283.3611,277.6356,269.5234,258.5884,244.5937,227.5828,207.9197,447.1101127756343,289.688712081222,1658.7751,315.6132,1432.9468,15.93610000000001
2357,2357.0,2357.0,2357.0,7.0,0.7,412.6068,384.7286,362.0597,343.687,328.9378,317.2386,308.052,300.8651,295.2059,290.6704,286.9494,283.8466,281.2837,279.2908,277.9793,277.5001,277.9929,279.5348,282.1033,285.5639,467.76262221885486,197.0146915835511,1974.3883,363.3779999999997,1117.3336,15.93610000000001
2358,2358.0,2358.0,2358.0,8.0,0.8,430.5752,401.1208,377.3562,357.9633,342.0416,328.9361,318.1358,309.213,301.7851,295.4891,289.9621,284.8275,279.6877,274.1269,267.7271,260.0989,250.9232,239.9966,227.2679,212.8525,328.2206414997656,253.67288361343435,2337.7663,403.33020000000033,753.9556000000002,15.93610000000001
2359,2359.0,2359.0,2359.0,9.0,0.9,325.1466,322.9071,320.8737,318.5843,315.761,312.2977,308.2239,303.6568,298.7542,293.679,288.5783,283.5779,278.7854,274.2956,270.1909,266.5341,263.3515,260.6136,258.2186,255.9872,411.8250198365937,245.34350135538853,2741.0965,350.6253999999999,350.6253999999999,15.93610000000001
2360,2360.0,2360.0,2360.0,0.0,0.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,313.98123679084074,392.73174921237705,0.0,385.7909,2472.8116,-40.0
2361,2361.0,2361.0,2361.0,1.0,0.1,305.6785,298.4526,292.3092,287.2411,283.211,280.1494,277.9668,276.5765,275.921,275.9988,276.8857,278.7472,281.839,286.4927,293.0871,302.0087,313.6132,328.2023,346.0364,367.3998,407.16500996385946,434.79947409486505,385.7909,188.04889999999995,2087.0207,-32.850599999999986
2362,2362.0,2362.0,2362.0,2.0,0.2,379.9294,357.2617,338.4849,323.1762,311.0199,301.7295,295.0208,290.6178,288.2769,287.8129,289.1193,292.178,297.0586,303.909,312.9434,324.4328,338.707,356.1783,377.4011,403.1859,190.65786347875505,286.0889376206534,573.8398,96.60680000000002,1898.9718,-11.270500000000029
2363,2363.0,2363.0,2363.0,3.0,0.3,212.179,231.6703,248.4286,262.0795,272.6065,280.3052,285.6869,289.3619,291.9287,293.8866,295.5789,297.1686,298.6439,299.8499,300.5416,300.4525,299.3708,297.2099,294.0592,290.2017,403.1081030700999,199.4886049417616,670.4466,230.93010000000004,1802.365,-32.69479999999999
2364,2364.0,2364.0,2364.0,4.0,0.4,375.0958,351.7279,332.6209,317.5278,306.1569,298.0886,292.7708,289.5621,287.7921,286.8119,286.0238,284.8875,282.9134,279.6543,274.7077,267.7341,258.4916,246.8779,232.9672,217.0248,386.8122065468843,437.35012485768976,901.3767,282.944,1571.4349,-14.911400000000016
2365,2365.0,2365.0,2365.0,5.0,0.5,367.1736,350.9345,337.4001,326.0778,316.6085,308.7232,302.2187,296.9489,292.8325,289.8712,288.1757,287.989,289.6962,293.81,300.9274,311.6623,326.5744,346.1282,370.7247,400.8456,228.0094221126984,332.434893718538,1184.3207,113.78459999999995,1288.4909,-4.27679999999998
2366,2366.0,2366.0,2366.0,6.0,0.6,242.6173,255.8103,267.0698,276.1088,282.8992,287.6478,290.7349,292.6367,293.8478,294.8172,295.9037,297.3522,299.2904,301.7445,304.6705,307.9985,311.6845,315.7595,320.3686,325.7905,228.70434616224023,224.019164571128,1298.1053,198.9204,1174.7063,-25.352199999999986
2367,2367.0,2367.0,2367.0,7.0,0.7,238.3922,247.256,255.2295,262.2761,268.3924,273.6061,277.9683,281.5392,284.3703,286.4835,287.851,288.3799,287.9051,286.1966,282.9845,278.0009,271.0354,261.9939,250.9461,238.1469,429.2551240461894,200.2532569076949,1497.0257,374.4175,975.7859,-39.39389999999997
2368,2368.0,2368.0,2368.0,8.0,0.8,395.0144,366.6582,343.3923,324.7419,310.2891,299.5387,291.8833,286.6304,283.0597,280.4799,278.2692,275.8949,272.9149,268.9707,263.7794,257.1305,248.8889,239.0018,227.5049,214.522,401.2531052481529,355.72887220810946,1871.4432,396.3516000000002,601.3684000000001,-13.461299999999994
2369,2369.0,2369.0,2369.0,9.0,0.9,378.6252,359.99,344.4349,331.3236,320.2042,310.7507,302.7236,295.9479,290.305,285.7374,282.2617,279.9834,279.1039,279.9115,282.7501,287.9673,295.8516,306.5778,320.1841,336.5992,291.9280955068426,368.7739024171629,2267.7948,205.01679999999988,205.01679999999988,-2.249300000000005
2370,2370.0,2370.0,2370.0,0.0,0.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,402.74899451835046,381.34058336634433,0.0,371.8519,3386.6618,-40.0
2371,2371.0,2371.0,2371.0,1.0,0.1,375.1367,351.9544,332.6551,316.8954,304.3801,294.7846,287.7396,282.8559,279.7715,278.1987,277.9618,279.0172,281.4532,285.4704,291.3467,299.3913,309.8997,323.1241,339.2753,358.5711,300.5676474286227,378.9309094599984,371.8519,173.60540000000003,3014.8099,-18.21539999999999
2372,2372.0,2372.0,2372.0,2.0,0.2,299.3981,298.5235,297.6319,296.5278,295.1509,293.5682,291.9464,290.513,289.5184,289.2045,289.786,291.4429,294.3235,298.5529,304.2455,311.5209,320.5215,331.435,344.5247,360.1707,391.1588377698239,192.9151623499345,545.4573,163.46339999999998,2841.2045,-19.43180000000001
2373,2373.0,2373.0,2373.0,3.0,0.3,368.7709,350.201,334.9244,322.5783,312.8562,305.4512,300.0329,296.245,293.7083,292.0198,290.744,289.3995,287.4497,284.308,279.3674,272.0577,261.9284,248.7398,232.5417,213.7093,219.4806754771482,184.1071765424281,708.9207,348.6731000000001,2677.7411,-7.548800000000028
2374,2374.0,2374.0,2374.0,4.0,0.4,235.4704,249.8892,262.1664,271.9645,279.1991,284.0051,286.6659,287.5289,286.9282,285.1268,282.2854,278.4556,273.5931,267.5843,260.2793,251.5268,241.2063,229.2544,215.6818,200.5785,207.69609428390265,246.09653040712573,1057.5938,564.1832999999999,2329.068,-28.994899999999973
2375,2375.0,2375.0,2375.0,5.0,0.5,220.4851,232.0808,242.2962,251.0003,258.126,263.6681,267.6752,270.239,271.4834,271.5579,270.633,268.8993,266.565,263.8501,260.9722,258.1246,255.4478,253.0009,250.741,248.5192,210.1175744215315,458.41648720624914,1621.7771,593.8171,1764.8846999999998,-49.33190000000002
2376,2376.0,2376.0,2376.0,6.0,0.6,219.906,228.7202,236.5403,243.363,249.2073,254.1225,258.199,261.5823,264.4902,267.2321,270.2261,274.0088,279.2291,286.621,296.9531,310.9648,329.3109,352.5515,381.2281,416.0745,445.1511454943201,286.12697898137543,2215.5942,319.5437999999999,1171.0676,-58.8775
2377,2377.0,2377.0,2377.0,7.0,0.7,404.9218,371.5153,343.9954,321.8972,304.8725,292.5072,284.2636,279.5025,277.5418,277.7127,279.3948,282.0254,285.0918,288.1227,290.6911,292.4374,293.1109,292.6171,291.0564,288.7333,364.8426835092048,321.56289322793907,2535.138,216.8532,851.5237999999999,-20.49279999999999
2378,2378.0,2378.0,2378.0,8.0,0.8,350.2952,338.1565,327.8618,319.0225,311.3978,304.8615,299.3646,294.8966,291.4541,289.0202,287.5588,287.019,287.3487,288.5079,290.4804,293.2773,296.9357,301.5128,307.0807,313.7268,231.19658035007865,199.9711585278122,2751.9912,235.73910000000024,634.6705999999999,-8.138500000000022
2379,2379.0,2379.0,2379.0,9.0,0.9,244.4229,256.358,266.5412,274.7047,280.7949,284.9485,287.4362,288.5898,288.7294,288.1021,286.8384,284.93,282.2283,278.4655,273.2963,266.3588,257.3469,246.0845,232.5837,217.0717,438.2239513179056,229.9730800305103,2987.7303,398.9314999999997,398.9314999999997,-28.051499999999976
2380,2380.0,2380.0,2380.0,0.0,0.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,176.91141731204658,410.85295742480656,0.0,450.0513,2571.622,-40.0
2381,2381.0,2381.0,2381.0,1.0,0.1,195.2656,211.9119,226.456,238.6791,248.5593,256.2565,262.0732,266.4074,269.7113,272.4638,275.16,278.3105,282.4442,288.1041,295.8301,306.1322,319.4621,336.2035,356.7036,381.3701,220.3966469712647,451.7151560037176,450.0513,396.5199999999999,2121.5707,-56.74349999999998
2382,2382.0,2382.0,2382.0,2.0,0.2,227.0576,233.0928,238.688,243.9889,249.0991,254.0911,259.0263,263.9795,269.0599,274.427,280.298,286.9469,294.6986,303.919,315.0071,328.3932,344.553,364.0481,387.609,416.2864,298.53267176875585,358.49233083052343,846.5713,257.31000000000006,1725.0506999999998,-58.90889999999999
2383,2383.0,2383.0,2383.0,3.0,0.3,290.7805,283.9822,278.4394,274.3735,271.8967,271.0075,271.6098,273.5435,276.618,280.6379,285.4183,290.7907,296.6056,302.7369,309.0954,315.6518,322.4682,329.7323,337.7856,347.1417,310.62237377226575,265.9049198166384,1103.8813,192.03669999999988,1467.7406999999998,-41.99250000000001
2384,2384.0,2384.0,2384.0,4.0,0.4,303.5709,297.5121,292.4769,288.4935,285.5697,283.6818,282.768,282.7265,283.4151,284.6516,286.2139,287.8425,289.2467,290.1189,290.1586,289.1061,286.7834,283.1338,278.25,272.3802,286.3011623923785,448.6637565737684,1295.918,215.1931000000002,1275.704,-29.31819999999999
2385,2385.0,2385.0,2385.0,5.0,0.5,285.6042,285.1144,284.7538,284.4735,284.2579,284.1253,284.1257,284.3417,284.8933,285.95,287.7472,290.6021,294.9225,301.2005,309.9891,321.8649,337.3935,357.1233,381.6411,411.7285,326.7723826735271,236.4547928892138,1511.1111,133.8521999999998,1060.5108999999998,-28.87470000000002
2386,2386.0,2386.0,2386.0,6.0,0.6,317.4017,309.4682,302.9223,297.7225,293.8124,291.1093,289.5026,288.8549,288.9992,289.7309,290.7933,291.8617,292.5342,292.3397,290.769,287.3343,281.6487,273.5137,262.9907,250.4327,330.3851169483795,292.76268070491915,1644.9633,223.1491000000001,926.6587,-21.89069999999998
2387,2387.0,2387.0,2387.0,7.0,0.7,321.5566,314.1434,307.9579,302.8499,298.6887,295.3511,292.715,290.6582,289.0612,287.814,286.8256,286.0342,285.4152,284.9852,284.7984,284.9345,285.4811,286.5119,288.0706,290.1629,303.3765765798752,250.37324625783924,1868.1124,255.2730000000001,703.5095999999999,-17.648900000000026
2388,2388.0,2388.0,2388.0,8.0,0.8,300.5901,298.3455,296.4574,294.7854,293.236,291.758,290.3314,288.9528,287.6199,286.3178,285.0084,283.6242,282.0677,280.2163,277.9338,275.0874,271.568,267.3111,262.3116,256.6279,233.12205802225023,450.5987414999144,2123.3854,277.9297999999999,448.2365999999997,-21.24200000000002
2389,2389.0,2389.0,2389.0,9.0,0.9,243.5319,252.9295,261.0516,267.7446,272.9815,276.8579,279.5727,281.4057,282.6996,283.8532,285.3242,287.6374,291.3871,297.2261,305.8347,317.8766,333.9569,354.6141,380.3839,411.9737,346.80692583226744,270.925548221666,2401.3152,170.30679999999984,170.30679999999984,-36.14210000000003
2390,2390.0,2390.0,2390.0,0.0,0.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,283.07698494182387,307.5109500039955,0.0,427.5127,2838.7996000000003,8.058899999999994
2391,2391.0,2391.0,2391.0,1.0,0.1,281.0663,279.2974,277.7837,276.5307,275.5335,274.7776,274.2427,273.9101,273.7693,273.826,274.1079,274.6685,275.5874,276.9658,278.9181,281.5588,284.9873,289.2747,294.4575,300.5401,431.11639243748255,342.4337821718391,427.5127,325.3987,2411.2869,8.058899999999994
2392,2392.0,2392.0,2392.0,2.0,0.2,397.2288,369.1891,346.0459,327.2289,312.308,300.8657,292.4534,286.6009,282.8541,280.8159,280.1782,280.7373,282.3929,285.1335,289.0149,294.1341,300.6062,308.5483,318.0754,329.314,195.6849454085177,175.4206889251605,752.9114,275.04290000000015,2085.8882,8.058899999999994
2393,2393.0,2393.0,2393.0,3.0,0.3,216.362,234.995,250.8326,263.4596,272.8256,279.1953,283.0465,284.9459,285.4313,284.9167,283.63,281.584,278.5813,274.2492,268.103,259.6346,248.4165,234.2067,217.0332,197.232,253.3697421366784,324.37489252701266,1027.9543,471.59719999999993,1810.8453,8.058899999999994
2394,2394.0,2394.0,2394.0,4.0,0.4,256.5368,259.4433,262.1716,264.7526,267.1612,269.3271,271.158,272.5697,273.5163,274.0185,274.184,274.2201,274.4326,275.2087,276.9801,280.1684,285.1203,292.0484,300.9965,311.8468,175.52859672785686,407.3880273418292,1499.5515,434.0642,1339.2480999999998,8.058899999999994
2395,2395.0,2395.0,2395.0,5.0,0.5,193.3609,209.567,223.8247,235.9597,245.9646,253.9877,260.3021,265.2675,269.2948,272.8215,276.2989,280.1871,284.9528,291.0643,298.9801,309.1336,321.9213,337.7076,356.8634,379.8526,281.240086247186,305.9633011652935,1933.6157,379.8554999999999,905.1838999999998,8.058899999999994
