,t,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,u0,u1,L,inst_cost,ctg,path_diff
9,0.9,315.5934,308.5842,302.8461,298.296,294.8128,292.2359,290.3779,289.0436,288.0465,287.2166,286.3985,285.4414,284.1869,282.4621,280.0826,276.8688,272.6729,267.4113,261.0907,253.8194,236.57688355781278,437.61008064601896,2413.1432,260.61749999999984,260.61749999999984,5.724199999999996
0,0.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,239.53680716080498,263.9880905870897,0.0,468.1921,2498.1265,9.820299999999975
1,0.1,246.086,251.9286,256.9763,261.1857,264.5653,267.1724,269.1004,270.4615,271.3698,271.9272,272.2139,272.2848,272.1698,271.8773,271.4,270.7222,269.8272,268.7031,267.3479,265.7703,360.3529666876646,458.47921027164745,468.1921,407.12760000000003,2029.9343999999999,9.820299999999975
2,0.2,341.0713,324.5204,310.6219,299.3197,290.5011,283.9689,279.4585,276.6858,275.4087,275.4856,276.9207,279.8884,284.7314,291.9335,302.0684,315.7378,333.5193,355.9549,383.6222,417.3277,348.9842840863355,288.53121474309984,875.3197,151.76340000000005,1622.8067999999998,9.820299999999975
3,0.3,335.8973,324.8199,315.4659,307.6454,301.2376,296.1681,292.3876,289.8516,288.5,288.2366,288.9112,290.3058,292.1321,294.0435,295.6661,296.6485,296.7244,295.7751,293.8754,291.3073,208.23169232826433,242.13376813670686,1027.0831,219.84410000000003,1471.0433999999998,9.820299999999975
4,0.4,224.8081,239.8008,252.7289,263.3242,271.5518,277.5811,281.7233,284.3538,285.8396,286.4818,286.4816,285.927,284.8008,283.0029,280.3828,276.7794,272.0617,266.1643,259.1131,251.0327,262.53992558374495,353.28217853846,1246.9272,346.8106,1251.1992999999998,9.820299999999975
5,0.5,264.057,265.5102,267.0127,268.6243,270.345,272.1251,273.8877,275.5578,277.0928,278.5083,279.8971,281.4386,283.3966,286.1048,289.9376,295.2701,302.4346,311.684,323.1801,337.0161,376.37769538301734,410.40127880080036,1593.7378,240.54049999999984,904.3886999999997,9.820299999999975
6,0.6,354.5837,336.1193,320.7565,308.3501,298.7384,291.6986,286.9488,284.1803,283.1031,283.4895,285.2052,288.224,292.6269,298.5877,306.3508,316.2081,328.4828,343.5315,361.7767,383.784,191.00834997651444,370.12230839668257,1834.2783,131.62879999999996,663.8481999999999,9.820299999999975
7,0.7,210.8669,228.8461,244.3573,257.0929,267.054,274.515,279.9453,283.9144,287.0034,289.7378,292.5481,295.7559,299.5832,304.1746,309.6311,316.0472,323.5498,332.3359,342.7067,355.0994,453.1821630522701,393.9188837282875,1965.9071,147.3062,532.2194,9.820299999999975
8,0.8,412.8527,379.8463,353.0484,331.8512,315.7816,304.3155,296.8275,292.6268,291.0318,291.4449,293.4054,296.6121,300.9204,306.3225,312.9219,320.9092,330.5474,342.1702,356.2004,373.1937,434.5464900010429,188.24469905884848,2113.2133,143.05090000000018,384.91319999999996,9.820299999999975
