,t,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,u0,u1,L,inst_cost,ctg
4,0.4,307.12086402331323,303.810605508624,301.2455367020738,299.3858506216825,298.2260250156404,297.7747764237501,298.0602102932046,299.1339419678293,301.0705700322052,303.966120266325,307.9383978923832,313.1293032660762,319.7121330672777,327.90189151738076,337.9737005846776,350.28963184794185,365.3381354250071,383.79443502785665,406.61867442030166,435.2302380033519,311.4279486202352,471.8714051908961,837.0783106187649,29.619751245194948,140.1394729892653
5,0.5,308.05441079318655,304.6686871302124,302.1403234959433,300.40823611426913,299.4335659068218,299.20325509699086,299.72494953141694,301.02372427622487,303.1412366967979,306.13635866341417,310.08712878687425,315.0948775980045,321.29191624124775,328.85473867265574,338.02393766959995,349.13037035661233,362.6236342609392,379.0987177420028,399.341695331204,424.5416169477246,312.3279209739383,457.2781319370983,858.7003500362051,21.62203941744019,110.51972174407035
6,0.6,311.7807375537133,307.7059806858181,304.6483849164366,302.5152069227012,301.23074502858293,300.75726224041335,301.08237730247447,302.2112929963992,304.1663614291753,306.99050126498315,310.752166657493,315.55135786865327,321.5272603663394,328.8686079620683,337.8282554540505,348.74421670001107,362.0713529868257,378.4315791712424,398.6952617654127,424.11191261580586,316.75561423191675,456.5436780874234,879.1482489299044,20.44789889369929,88.89768232663016
7,0.7,315.9885883443322,311.20030203721393,307.5497999781285,304.92278917103084,303.2247774691028,302.4031007181583,302.4330854004941,303.30933948385984,305.04492398324635,307.67469899565793,311.2602582645888,315.8957646349653,321.715251605755,328.9026359981813,337.70612157156006,348.4591452052443,361.6108750654238,377.77159621142147,397.7858424302254,422.87009512035195,321.79991030063997,454.9234825549079,898.7940024191447,19.645753489240292,68.44978343293087
8,0.8,315.3125243270354,311.03264552166604,307.7439373180779,305.3587095662632,303.81975739914,303.0886111830496,303.14694929832496,303.99784677939476,305.66617032152686,308.19954547031153,311.6708423831339,316.1826743736788,321.8743851411153,328.93228503011244,337.60436603369243,348.2214052413804,361.22754360619797,377.2260276682045,397.0525778573608,421.90826738442877,320.7753646569909,453.6437291860442,917.9107866099696,19.116784190824887,48.80402994369058
9,0.9,314.4412448155279,310.4188293719958,307.352777271321,305.15357783224914,303.76275632882107,303.1430423812661,303.27857993624957,304.17565474979693,305.86315736977934,308.39361325801093,311.8455472373705,316.32771792104217,321.9857283106615,329.0117490797866,337.6586140654222,348.2604937771035,361.2640201013354,377.27662917062855,397.14373611440664,422.07436719638304,319.6049435218574,453.8504483890804,936.9700224856277,19.059235875658146,29.687245752865692
10,1.0,299.3906537740132,299.0115223313563,298.8280404174794,298.87679727210076,299.2437488801703,299.95704127513926,301.0283088334654,302.4767244175987,304.32514102242175,306.5842938782276,309.2374699312211,312.2329590859189,315.48997113116235,318.92293711226324,322.48330728844655,326.1991100875582,330.1566621633348,334.343560121582,338.4085581305201,342.2291081931861,300.9677260255023,351.3141231966427,947.5980323628353,10.628009877207546,10.628009877207546
0,0.0,252.0,246.0,248.0,244.0,262.0,263.0,272.0,262.0,272.0,272.0,272.0,263.0,250.0,259.0,248.0,250.0,261.0,270.0,258.0,257.0,319.42758522334253,319.4275852233425,0.0,0.0,875.675532181553
1,0.1,379.3844214831124,351.1653169284768,328.94943432842007,312.21091157541156,298.3246250329538,288.28849488773363,280.5435862911753,275.9822832054679,272.55525177649156,271.3460013849556,271.77609071035096,274.4346381210881,279.56948949481307,286.6406697565223,298.21162559256015,313.2683743660689,332.3531098735651,356.7787161446314,389.3513313500734,430.7991731890606,407.2115410494503,473.0,549.0422754366706,549.0422754366706,875.675532181553
2,0.2,316.8106907271987,312.4756508448341,307.7370500126128,302.9322282912545,298.6610071572076,295.047390499176,292.24003842077224,290.3280587396672,289.6027803149837,290.2572418954456,292.5722891307302,296.77028741218436,303.0822864602937,311.77681605777764,323.00009440005283,337.1154169080848,354.5223239523369,375.7482948104228,401.50131019542306,433.0613337591704,325.2683269810827,473.0,687.9228043911405,138.88052895446992,326.6332567448824
3,0.3,309.02596294683644,305.1727541006706,302.00783983141434,299.47423894629173,297.5734464865837,296.3431224766883,295.8421526672765,296.1629918947464,297.4198619781126,299.7559213915354,303.32796549342424,308.31004306752726,314.8934069499399,323.2955789139146,333.78660863759995,346.7032101645743,362.5020996134359,381.8267257384771,405.6185516129197,435.28558019979937,314.04930480399486,473.0,736.527532285777,48.60472789463654,187.75272779041245
4,0.4,306.8041996414436,303.5523048889558,301.0504321454349,299.2578353265999,298.16595903921893,297.7813702204583,298.1306510332154,299.262508569577,301.24784446406994,304.1782162275701,308.1666404676428,313.3503055882053,319.8973895720283,328.0186705454736,337.9852110788057,350.1556827030467,365.01424095114146,383.2264871383198,405.7298716324426,433.9144983681928,311.02359986710246,470.0695882953256,765.1610341682629,28.633501882485803,139.1479998957759
5,0.5,307.9727886580732,304.598941818162,302.08558955928163,300.370763266447,299.4137980481115,299.2004141255712,299.7371019694986,301.0476542204886,303.1724393003141,306.1693985140846,310.1163613092219,315.11541153800647,321.3006144992978,328.85083425946425,338.0090243994062,349.10774326336355,362.59815628054133,379.0799950258506,399.3523204339118,424.61475123400334,312.2232864478523,457.35378874602605,786.7802317057352,21.61919753747236,110.51449801329011
6,0.6,311.8025733624691,307.7192292566225,304.65602543225725,302.51964264654583,301.2335303532812,300.7594761694806,301.08476838164324,302.21427110592197,304.16998912081857,306.99454431253713,310.7561955893035,315.5548621480939,321.5297389044989,328.86963223625463,337.8275299414372,348.74166883354087,362.0671492711565,378.4256659805607,398.6860790803646,424.096321598759,316.78304122728923,456.52671353868993,807.2274509090591,20.447219203323925,88.89530047581775
7,0.7,315.96998237101127,311.1874664214246,307.54120567429607,304.91727680839494,303.22161137559016,302.4017018040115,302.43292955016466,303.30996252162566,305.0459445619172,307.6758262039599,311.2612845679233,315.8965537300962,321.71572796909084,328.90277639047355,337.70594292805305,348.4586820240049,361.61015693822,377.7706795236823,397.78494823015257,422.86958527682765,321.7766864776573,454.9225210919358,826.87109642542,19.643645516360834,68.44808127249382
8,0.8,315.3184157941568,311.03619555142376,307.74591184810606,305.35967970338584,303.820055770722,303.0884793030666,303.14659084224706,303.9974223557183,305.6657857613887,308.1992526241381,311.6706511897105,316.18256937974235,321.8743407614502,328.9322765712626,337.6043760414985,348.2214266442568,361.2275812297557,377.2260965876587,397.0526952150255,421.90844822597893,320.7827431800025,453.6439855165926,845.9882803134433,19.117183888023305,48.80443575613299
9,0.9,314.44015152845776,310.41823514576527,307.3524812907672,305.1534429868191,303.7627197063609,303.14306492547917,303.27862834608493,304.17570283406764,305.86318960176214,308.3936247968984,311.8455410877761,316.32770126670226,321.98570944354384,329.0117354897463,337.6586116727041,348.2605069694053,361.26405212795095,377.2766826048952,397.14381343728564,422.0744720949233,319.60364633431726,453.8505933127686,865.0475141686727,19.059233855229422,29.687251868109684
10,1.0,299.39092169241025,299.0116815328415,298.8281325421725,298.8768501746642,299.2437749442304,299.9570485750859,301.02830485241196,302.47671553138343,304.32513163900524,306.5842863606965,309.2374650654524,312.23295666092247,315.4899703911068,318.9229370301639,322.48330671007915,326.19910779914653,330.1566568486169,334.34355002244985,338.4085402878417,342.2290786171001,300.9680431437172,351.3140862623316,875.675532181553,10.628018012880261,10.628018012880261
0,0.0,246.0,268.0,246.0,254.0,255.0,252.0,263.0,251.0,269.0,254.0,259.0,268.0,249.0,249.0,255.0,254.0,248.0,244.0,256.0,243.0,355.64536330625407,355.6453633062539,0.0,0.0,981.8052525112856
1,0.1,390.2480442180716,357.76717246128595,334.09167864432845,314.50610903703034,299.29726925495436,287.6988360370138,278.5125537450997,273.05069182571214,268.5576534860656,267.64218862000206,267.7542528945471,269.7129502317109,275.3965759812379,283.19843578215466,294.2716080520239,309.671480786369,329.76062455600766,355.1564584721165,387.34252473033166,430.3341493775851,420.8387443477634,473.0,628.9929553982092,628.9929553982092,981.8052525112856
2,0.2,318.9447396956348,314.3849227283628,309.191526908571,303.9323491801382,299.13563608275643,295.02489767302194,291.7443841803179,289.38162225784794,288.2823269531474,288.58741226772474,290.681118552695,294.78406089443524,301.0512746328623,309.79354774616183,321.2103546832724,335.55624050313423,353.22058102018684,374.7441826306237,400.87329266740414,432.7238957832551,328.148342468097,473.0,788.4769863683866,159.4840309701774,352.8122971130764
3,0.3,310.0564820402014,305.99239295605616,302.6226252265504,299.87790355344646,297.768264466573,296.33150774401344,295.63174736181116,295.76823133443526,296.8609269369528,299.0640292731574,302.53699708112646,307.45886251113836,314.0263973105718,322.45402861043374,333.0052903201571,346.01537748765514,361.93339813862525,381.3933170367452,405.32649576600915,435.1413771820444,315.3521109769705,473.0,841.4316958640127,52.95470949562605,193.328266142899
4,0.4,307.1921226008885,303.86853414562194,301.28897348740924,299.4143072421258,298.2394647653517,297.7732935628473,298.0445593652606,299.1053029639093,301.0310611968737,303.9186185266677,307.8870170818414,313.0794699213109,319.66998270773274,327.87505759692226,337.97076754499085,350.3197884177522,365.41165849999186,383.92415219973304,406.8221721299303,435.5319601871718,311.519004182228,472.285263245518,871.284499495241,29.852803631228312,140.37355664727295
5,0.5,308.07281533363164,304.68440411698845,302.15265882835934,300.41667633921855,299.43801422556515,299.20390228179826,299.7222275867194,301.01836105096714,303.1342433653125,306.12896615473863,310.08060741736085,315.090316627759,321.2900301919925,328.8556825544968,338.0273326745299,349.13546353367775,362.6293120137955,379.1027604936193,399.33891409997204,424.52437676064415,312.3515294700125,457.26018990664414,892.9070433928642,21.622543897623245,110.52075301604464
6,0.6,311.7757315704967,307.7029333127063,304.6466197593039,302.5141792228535,301.2301019153509,300.7567577599076,301.0818408193467,302.21062976075194,304.16555520811113,306.9896022673241,310.7512696084081,315.5505766141616,321.52670623204693,328.86837780445876,337.8284168402186,348.7447865377817,362.0722942697709,378.43290752652956,398.69734109925434,424.11547181151036,316.7493262472548,456.54754118684673,913.355085893841,20.448042500976726,88.89820911842139
7,0.7,315.9928236874262,311.2032226820537,307.5517548079243,304.924042733792,303.22549762308995,302.4034195292101,302.4331222333092,303.3091999137781,305.04469454806997,307.67444551507754,311.26002744762366,315.8955868845511,321.71514350315664,328.9026021606135,337.70615747355146,348.4592423785795,361.61102617149146,377.77178754000045,397.786021867341,422.87017731050105,321.8051968313958,454.92365800206977,933.0013108077688,19.64622491392788,68.45016661744467
8,0.8,315.3111829706922,311.0318372864977,307.74348781761506,305.35848878038803,303.8196895983228,303.0886413582551,303.14703102553716,303.9979434052327,305.6662576328545,308.1996115175087,311.6708847442914,316.18269640662237,321.874392518001,328.93228323779607,337.6043589185248,348.2213942671244,361.2275274819878,377.22600274015616,397.052540060983,421.9082130787712,320.773684729716,453.64365360189214,952.1180037122996,19.116692904530737,48.803941703516784
