,0,1,2,3,4,5
118,32.0,0.8,-14.65194683,-9.238980316,-2.507789692,931.1981279431882
119,36.0,0.9,-15.53939238,-8.521880269,-1.703454983,631.1283797089092
120,40.0,1.0,-16.31957953,-7.10546574,6.362273767,317.01871205574
122,4.0,0.1,-11.1251123,-13.57672591,2.580858705,3636.696599683005
123,8.0,0.2,-12.47974936,-13.51701036,-12.94921515,3328.5676854018525
124,12.0,0.3,-13.84972945,-13.87659926,-17.29568984,2989.2755613760796
125,16.0,0.4,-15.14429314,-12.04519293,5.368426368,2603.4048440800425
126,20.0,0.5,-16.21132813,-9.340576397,16.3758154,2228.824456640526
127,24.0,0.6,-17.03790996,-7.226292366,12.87702203,1877.430092823729
128,28.0,0.7,-17.7861825,-7.730752152,-12.52732325,1534.0913271779464
129,32.0,0.8,-18.44519855,-5.486959113,15.84776992,1157.1938412799377
130,36.0,0.9,-18.94261395,-4.478159405,5.113843085,785.6060123660956
131,40.0,1.0,-19.43234556,-5.302732176,-13.1430438,406.59872049528104
133,4.0,0.1,-8.725013525,-11.19630117,12.75747661,2289.4960383174657
134,8.0,0.2,-9.749585633,-9.326302454,8.454266049,2087.199251369416
135,12.0,0.3,-10.71743587,-10.01915669,-16.6070448,1904.8075408185932
136,16.0,0.4,-11.68782839,-9.399027449,-3.502632735,1688.1816387273127
137,20.0,0.5,-12.5568632,-8.004900286,5.25092355,1463.1732470857858
138,24.0,0.6,-13.32730543,-7.413794377,-1.793363182,1241.2821440828288
139,28.0,0.7,-13.97781806,-5.626245707,11.37036041,1008.6846462363719
140,32.0,0.8,-14.55015092,-5.81722911,-7.633162695,781.0041822831073
141,36.0,0.9,-15.13033617,-5.786979961,-5.499361013,535.1658101064573
142,40.0,1.0,-15.67800378,-5.176544517,0.627678309,272.59838556247496
144,4.0,0.1,-0.691664557,-12.95698156,6.686099186,871.6374763139673
145,8.0,0.2,-1.848548682,-10.22620628,15.73891155,703.0521856967522
146,12.0,0.3,-2.787076245,-8.57191196,7.15766761,593.8211919020232
147,16.0,0.4,-3.643405161,-8.55494903,-8.393659869,512.3195622285126
148,20.0,0.5,-4.454704747,-7.68553057,0.581188747,425.5057405254309
149,24.0,0.6,-5.245496618,-8.123016643,-12.28277944,346.59227709828383
150,28.0,0.7,-5.974178636,-6.478035491,9.162991348,252.33930959252095
151,32.0,0.8,-6.533917173,-4.745604283,11.72692671,174.26375334280888
152,36.0,0.9,-6.898848665,-2.588963584,17.91709206,108.36331565804808
153,40.0,1.0,-7.089074433,-1.238063041,11.60674775,52.461359376765095
155,4.0,0.1,-5.980996769,-17.51571214,-16.03379357,4265.127257560177
156,8.0,0.2,-7.735989364,-17.58301817,-18.22298631,3921.269350756818
157,12.0,0.3,-9.47094869,-17.12382036,-12.75761514,3550.6009052000745
158,16.0,0.4,-11.12686762,-16.01306774,-5.451663119,3166.8630286696093
159,20.0,0.5,-12.74492226,-16.34253481,-19.47521706,2786.488904036961
160,24.0,0.6,-14.32362968,-15.24982237,-4.859949812,2355.080996209785
161,28.0,0.7,-15.78843996,-14.06610864,-2.810965499,1917.23945112258
162,32.0,0.8,-17.13840602,-12.95178148,-2.356388952,1470.0696948445898
163,36.0,0.9,-18.42454129,-12.77388836,-11.08242151,1008.5683275880808
164,40.0,1.0,-19.61072377,-10.97966006,6.08045818,505.31828167479586
166,4.0,0.1,-6.937157032,-9.851688522,-9.971421606,1308.2896978086662
167,8.0,0.2,-7.783959312,-7.129715735,18.75170507,1162.6126371433097
168,12.0,0.3,-8.374900174,-4.729105018,18.09669855,1049.4316358953702
169,16.0,0.4,-8.897171923,-5.700148594,-14.93315325,955.2907962075842
170,20.0,0.5,-9.476035894,-5.874229968,-7.529453452,842.5244386565446
171,24.0,0.6,-9.990827972,-4.445421092,9.140167986,717.9391413287898
172,28.0,0.7,-10.46423203,-5.013198652,-10.41181617,597.9430157234322
173,32.0,0.8,-10.96957932,-5.092426871,-5.845755076,462.7686734415503
174,36.0,0.9,-11.45749354,-4.67284944,-0.683367947,316.3333272852529
