,t,xi1,xi2,ui,xf1,xf2,uf
32,0.8,-12.10265707,0.183996357,3.793172997,-12.05464214,0.766593826,6.306123947
36,0.9,-12.05464214,0.766593826,6.306123947,-11.99077071,0.515026871,-1.876955238
40,1,-11.99077071,0.515026871,-1.876955238,4.078425,-12.96259561,0
0,0,4.078425,-12.96259561,0,2.941619294,-9.825789885,20
4,0.1,2.941619294,-9.825789885,20,2.103320121,-6.987490696,20
8,0.2,2.103320121,-6.987490696,20,1.535120826,-4.419291392,20
12,0.3,1.535120826,-4.419291392,20,1.211318006,-2.095488598,19.99999975
16,0.4,1.211318006,-2.095488598,19.99999975,1.067775772,-0.796994047,11.54952317
20,0.5,1.067775772,-0.796994047,11.54952317,1.005904815,-0.446269536,2.88853553
24,0.6,1.005904815,-0.446269536,2.88853553,0.968893035,-0.296462427,1.127953294
28,0.7,0.968893035,-0.296462427,1.127953294,0.944552405,-0.192089422,0.800323761
32,0.8,0.944552405,-0.192089422,0.800323761,0.929743972,-0.105521806,0.717591825
36,0.9,0.929743972,-0.105521806,0.717591825,0.921660505,-0.056956806,0.404815332
40,1,0.921660505,-0.056956806,0.404815332,-3.82799285,0.181236928,0
0,0,-3.82799285,0.181236928,0,-3.779954593,0.769721757,6.365230854
4,0.1,-3.779954593,0.769721757,6.365230854,-3.73172371,0.204317749,-5.171731245
8,0.2,-3.73172371,0.204317749,-5.171731245,-3.731482169,-0.192868272,-3.969444803
12,0.3,-3.731482169,-0.192868272,-3.969444803,-3.763399053,-0.441329086,-2.803776979
16,0.4,-3.763399053,-0.441329086,-2.803776979,-3.811242388,-0.51432127,-1.208355185
20,0.5,-3.811242388,-0.51432127,-1.208355185,-3.859330434,-0.448535892,0.176973323
24,0.6,-3.859330434,-0.448535892,0.176973323,-3.891226548,-0.193634046,2.230057319
28,0.7,-3.891226548,-0.193634046,2.230057319,-3.891529791,0.181320979,3.74651782
32,0.8,-3.891529791,0.181320979,3.74651782,-3.867048596,0.30622159,1.493818056
36,0.9,-3.867048596,0.30622159,1.493818056,-3.842455485,0.187617039,-0.940114405
40,1,-3.842455485,0.187617039,-0.940114405,5.193659959,-0.965976278,0
0,0,5.193659959,-0.965976278,0,5.004986804,-2.777303079,-19.99999956
4,0.1,5.004986804,-2.777303079,-19.99999956,4.717771146,-2.963900636,-4.738132154
8,0.2,4.717771146,-2.963900636,-4.738132154,4.4374923,-2.646957794,0.366639954
12,0.3,4.4374923,-2.646957794,0.366639954,4.193217575,-2.245231018,1.574520522
16,0.4,4.193217575,-2.245231018,1.574520522,3.989151252,-1.8428015,1.983631938
