,0,1,x1,x2,u,ctg
324,20,0.5,-1.976414191,-2.707744601,20,39.01893489
325,24,0.6,-2.1373418,-0.546817037,19.99999956,25.78084101
326,28,0.7,-2.17355796,-0.183559447,3.2704143,18.91360226
327,32,0.8,-2.174068491,0.167498834,3.505477495,14.10207594
328,36,0.9,-2.156427837,0.185022239,0.351640592,9.286004411
329,40,1,-2.141743294,0.109920112,-0.604175845,4.600971911
331,4,0.1,0.31199614,-2.214731106,19.99999993,9.423855717
332,8,0.2,0.17764854,-0.500781969,15.79601536,2.421480267
333,12,0.3,0.142877563,-0.19965551,2.663554823,0.891568176
334,16,0.4,0.111100185,-0.432019949,-2.641418167,0.795819234
335,20,0.5,0.063065317,-0.527093119,-1.431080384,0.561949298
336,24,0.6,0.015240044,-0.431013397,0.482544492,0.269904952
337,28,0.7,-0.017016591,-0.217674363,1.81082399,0.082735898
338,32,0.8,-0.029797404,-0.040887859,1.640056906,0.018668788
339,36,0.9,-0.032141276,-0.006561582,0.319824055,0.002660152
340,40,1,-0.032556575,-0.001823365,0.043229175,0.001072599
342,4,0.1,-1.130600891,0.644188535,8.260512216,15.7636285
343,8,0.2,-1.088563199,0.203902197,-3.982486452,13.72921095
344,12,0.3,-1.088313109,-0.192298158,-3.959502655,12.42336402
345,16,0.4,-1.120241724,-0.442111287,-2.81741744,11.1235717
346,20,0.5,-1.168068965,-0.513248124,-1.189640778,9.633478589
347,24,0.6,-1.216179092,-0.450008232,0.151297648,7.99859362
348,28,0.7,-1.248044914,-0.191614057,2.265283538,6.316880172
349,32,0.8,-1.250677479,0.133544339,3.225258298,4.696890571
350,36,0.9,-1.238302721,0.114271986,-0.068975945,3.062850868
351,40,1,-1.229324194,0.066101271,-0.391921881,1.516375365
353,4,0.1,3.794425486,-5.652756466,20,140.2884108
354,8,0.2,3.353242942,-3.211574004,19.99999919,91.93709038
355,12,0.3,3.089896258,-2.074310915,8.739164042,68.37864473
356,16,0.4,2.906338727,-1.604665813,2.86087571,54.14655513
357,20,0.5,2.762064697,-1.28612296,1.742688221,43.08387492
358,24,0.6,2.647549334,-1.008805481,1.628021168,33.78557645
359,28,0.7,2.559910636,-0.748309356,1.72857427,25.74511821
360,32,0.8,2.497672898,-0.500573648,1.854979696,18.61706901
361,36,0.9,2.458956174,-0.277478457,1.843784673,12.11092038
362,40,1,2.437686314,-0.150042324,1.061662733,5.970462905
364,4,0.1,7.798349402,-1.661432362,-20,498.9762071
365,8,0.2,7.543494849,-3.406577785,-19.99999975,433.4015962
366,12,0.3,7.172687974,-3.999676405,-9.639054965,362.8925095
367,16,0.4,6.794085629,-3.579374347,0.41699714,294.9830885
368,20,0.5,6.466864658,-2.975114409,2.770389665,236.0106988
369,24,0.6,6.200867787,-2.355153958,3.539635799,185.3006793
370,28,0.7,5.996055137,-1.75116386,3.991774483,141.2405227
371,32,0.8,5.850370739,-1.172172358,4.333071038,102.1415993
372,36,0.9,5.759703548,-0.649874971,4.31630196,66.44689599
373,40,1,5.709887343,-0.351422497,2.48636269,32.75722124
375,4,0.1,-1.892816838,-3.899297147,20,76.57301124
376,8,0.2,-2.167135662,-1.62497832,20,55.78573741
377,12,0.3,-2.256805783,-0.192298139,13.43010059,46.44870589
378,16,0.4,-2.288734398,-0.442111294,-2.817417697,40.41671696
379,20,0.5,-2.336561639,-0.513248111,-1.189640577,34.94326021
380,24,0.6,-2.384671765,-0.450008235,0.151297493,29.21324007
381,28,0.7,-2.416537587,-0.191614047,2.26528367,23.32395878
382,32,0.8,-2.416882393,0.178549566,3.69818807,17.42193137
383,36,0.9,-2.397729962,0.204073706,0.446765708,11.48034795
384,40,1,-2.381514673,0.1216063,-0.662521174,5.688594903
386,4,0.1,6.43515856,-4.596664325,1.241177814,339.3053932
387,8,0.2,6.006514263,-3.986391127,1.816289018,276.757102
388,12,0.3,5.637317901,-3.407187908,2.100068564,224.7710796
389,16,0.4,5.324401401,-2.860256095,2.340153128,181.3607457
390,20,0.5,5.064739036,-2.341633472,2.589602588,144.8030489
391,24,0.6,4.855735272,-1.846689494,2.859402134,113.6346898
392,28,0.7,4.695208558,-1.371758977,3.144038035,86.6053818
393,32,0.8,4.581100176,-0.917970547,3.396800479,62.62925083
394,36,0.9,4.5100973,-0.508903631,3.380640396,40.74241081
395,40,1,4.471087463,-0.275187726,1.947060682,20.08530661
397,4,0.1,-10.83673408,-9.873408027,20,1718.9711
398,8,0.2,-11.67956472,-7.03057737,20,1502.052109
399,12,0.3,-12.25186425,-4.458277819,20,1314.210859
400,16,0.4,-12.57937712,-2.130764937,20,1142.22644
401,20,0.5,-12.71023007,-0.513248156,14.86663833,977.4455521
402,24,0.6,-12.75834019,-0.45000816,0.151298708,814.5270954
403,28,0.7,-12.79020601,-0.191614143,2.26528195,651.5492292
404,32,0.8,-12.79055081,0.178549759,3.698191006,487.8974859
405,36,0.9,-12.7427327,0.76799022,6.372585788,324.1990327
406,40,1,-12.67809808,0.528689797,-1.74665806,161.0289379
408,4,0.1,-5.039221035,-3.105566381,20,301.2021783
409,8,0.2,-5.238006389,-0.906781018,20,264.1638872
410,12,0.3,-5.292365048,-0.192298221,6.601241381,233.9049244
411,16,0.4,-5.32429366,-0.442111173,-2.817415644,205.6409361
412,20,0.5,-5.372120904,-0.513248276,-1.189643459,177.0576816
413,24,0.6,-5.420231026,-0.450008,0.151301534,147.9274986
414,28,0.7,-5.452096852,-0.191614364,2.265278096,118.3459726
415,32,0.8,-5.452441649,0.178550054,3.698196212,88.55823898
416,36,0.9,-5.422661524,0.413143201,2.643732717,58.72885565
417,40,1,-5.389281949,0.257049425,-1.227142005,29.11796372
419,4,0.1,0.194754121,-2.635760042,20,12.17004457
420,8,0.2,0.038842022,-0.517775799,19.62072144,3.184884404
421,12,0.3,0.003361509,-0.197176878,2.85118409,0.990420375
422,16,0.4,-0.028466736,-0.435418001,-2.700693684,0.9108841
423,20,0.5,-0.07643169,-0.522431103,-1.349780561,0.684016178
424,24,0.6,-0.124352881,-0.437409519,0.371003922,0.396130579
425,28,0.7,-0.156477918,-0.20889909,1.963853924,0.188651633
426,32,0.8,-0.167763974,-0.019970312,1.776427225,0.101243853
427,36,0.9,-0.168372363,0.007347318,0.267092406,0.056921821
428,40,1,-0.16770889,0.005945486,-0.007383598,0.028161893
430,4,0.1,-0.755872426,-13.79260948,20,528.7362051
431,8,0.2,-1.971664395,-10.5768175,20,335.9287856
432,12,0.3,-2.881433295,-7.667048577,20,218.1722568
433,16,0.4,-3.514301072,-5.034180784,20,149.0859651
434,20,0.5,-3.896618352,-2.651863493,20,109.3926769
435,24,0.6,-4.052228169,-0.496253691,19.99999985,85.17666233
436,28,0.7,-4.085958292,-0.183559462,2.789641061,66.5098415
437,32,0.8,-4.086468816,0.167498986,3.505479244,49.74218178
438,36,0.9,-4.06213273,0.316735855,1.73572954,32.95345656
439,40,1,-4.0366347,0.195249181,-0.959886438,16.33714886
441,4,0.1,-7.555522914,0.766871925,14.4927685,579.0809876
442,8,0.2,-7.507233396,0.208227627,-5.103547805,520.3567668
443,12,0.3,-7.5070723,-0.198232489,-4.062990194,463.8246238
444,16,0.4,-7.538878817,-0.433969555,-2.675435828,407.3466537
445,20,0.5,-7.586873571,-0.524418296,-1.384434952,350.2878406
446,24,0.6,-7.634753874,-0.434683103,0.418548897,292.4425921
447,28,0.7,-7.666935004,-0.212639603,1.898623708,233.9633001
448,32,0.8,-7.666847213,0.207395982,4.201233746,175.1181683
449,36,0.9,-7.627587161,0.571733773,4.035978429,116.2063572
450,40,1,-7.581274596,0.35807787,-1.673433376,57.61794616
452,4,0.1,-8.110561423,-12.83904872,20,1437.402312
453,8,0.2,-9.235610087,-9.714000036,20,1204.779933
454,12,0.3,-10.06327105,-6.886339055,20,1023.121643
455,16,0.4,-10.62184449,-4.327765595,20,872.4305531
456,20,0.5,-10.93693748,-2.012672595,20,738.8774176
457,24,0.6,-11.05741019,-0.423267325,14.68932559,613.2099652
458,28,0.7,-11.0898262,-0.228301662,1.625496574,489.6856084
459,32,0.8,-11.09030434,0.211411392,4.392349068,366.6360304
460,36,0.9,-11.04281193,0.729798596,5.65879621,243.5000215
461,40,1,-10.9824269,0.482030725,-1.873828437,120.8636104
463,4,0.1,1.271418389,-1.971137082,19.99999944,17.83614597
464,8,0.2,1.125524303,-0.963535217,8.617077788,10.33425997
465,12,0.3,1.043927476,-0.673238784,2.086996059,7.767784748
466,16,0.4,0.982859694,-0.550167693,0.620033092,6.20297195
467,20,0.5,0.929001465,-0.527376668,-0.310672036,4.932352075
468,24,0.6,0.881182023,-0.43062445,0.489327755,3.790699616
