,t,x1,x2,u,ctg
1,0.1,-0.080330237,-0.613052781,3.066169827,329.5279746
2,0.2,-0.203038952,-1.820992541,-13.30648475,325.2350381
3,0.3,-0.326242921,-0.662393615,10.35394956,282.8095248
4,0.4,-0.407272122,-0.953342063,-3.719776491,271.9973138
5,0.5,-0.482879833,-0.565278815,3.124555365,260.5581602
6,0.6,-0.510504814,0.003304399,5.409582335,254.5428872
7,0.7,-0.441522573,1.353835323,14.19513166,250.4734473
8,0.8,-0.400902627,-0.510371461,-18.23586838,220.1202365
9,0.9,-0.542324268,-2.288431971,-19.19482152,199.2808723
10,1,-0.823557257,-3.31905363,-13.11854648,125.5484486
0,0,0,-1,-0.489301014,333.2802822
1,0.1,-0.117021715,-1.334854318,-4.518760323,323.2683114
2,0.2,-0.315703921,-2.617417321,-14.8124521,304.2920504
3,0.3,-0.589561899,-2.855770356,-5.122110136,223.8161895
4,0.4,-0.793762311,-1.254914369,13.96655575,137.4743133
5,0.5,-0.934586808,-1.556549168,-4.424592961,105.6723925
6,0.6,-0.994257971,0.331660999,18.28539005,71.73056325
7,0.7,-0.934266018,0.859384137,5.8771509,44.02730948
8,0.8,-0.875277707,0.329216727,-4.711790986,26.18632348
9,0.9,-0.839228686,0.390738502,0.975707954,16.33132759
10,1,-0.801795002,0.358472851,0.051680331,7.713913643
0,0,0,-1,-0.485357864,179.4585783
1,0.1,-0.061932217,-0.251123525,6.869442586,169.4467997
2,0.2,-0.143038638,-1.352649205,-11.82632102,166.4183514
3,0.3,-0.301140007,-1.801892035,-6.073441989,140.9240587
4,0.4,-0.472536495,-1.628920115,0.01575432,105.7047217
5,0.5,-0.54988001,0.054005732,16.05582332,76.93799448
6,0.6,-0.558201331,-0.215933906,-2.782609586,60.99567492
7,0.7,-0.599544605,-0.604457276,-4.298666447,57.02636734
8,0.8,-0.564375798,1.276489534,19.16115617,48.85421735
9,0.9,-0.467881148,0.66361632,-5.163785638,11.01726635
10,1,-0.425000487,0.201694303,-4.190413562,3.091038355
0,0,0,-1,-0.48977855,169.6512359
1,0.1,-0.077973258,-0.566685853,3.553408891,159.6392417
2,0.2,-0.115238259,-0.184974962,3.444458897,155.7357792
3,0.3,-0.170391087,-0.906065432,-7.762432981,154.6676084
4,0.4,-0.181986519,0.648255766,15.42725767,143.1549632
5,0.5,-0.153828203,-0.073069365,-6.931668155,126.7214029
6,0.6,-0.109880536,0.935220661,10.52237693,124.0289793
7,0.7,-0.036864098,0.531830164,-3.30374059,109.6258443
8,0.8,0.090128457,1.98382506,15.78987452,106.2380863
9,0.9,0.280726723,1.830692038,0.374652428,54.33522937
