,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,t,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,u0,u1,L,inst_cost,ctg,path_diff
1854,1854.0,1854.0,1854.0,1854.0,1854.0,1854.0,1854.0,1854.0,1854.0,4.0,0.4,250.9881,255.4803,259.4199,262.7862,265.5724,267.7957,269.5097,270.8186,271.8939,272.9902,274.4586,276.7534,280.4254,286.0966,294.4168,306.0058,321.4013,341.0377,365.291,394.6184,407.9556328987772,467.9073172000143,1953.6384,227.94629999999984,1278.5105999999998,-30.0043
1855,1855.0,1855.0,1855.0,1855.0,1855.0,1855.0,1855.0,1855.0,1855.0,5.0,0.5,378.3147,353.4498,332.858,316.2583,303.4102,294.0257,287.7549,284.2182,283.0611,284.0049,286.8831,291.655,298.4016,307.3096,318.6532,332.7838,350.1395,371.29,397.0346,428.5871,317.9656091671808,335.5959849148488,2181.5847,59.414600000000064,1050.5643,-5.224300000000028
1856,1856.0,1856.0,1856.0,1856.0,1856.0,1856.0,1856.0,1856.0,1856.0,6.0,0.6,313.3734,309.6284,306.4406,303.6312,301.1407,299.0157,297.3767,296.3766,296.156,296.8061,298.343,300.6968,303.7172,307.1955,310.9034,314.6441,318.3086,321.9298,325.7197,330.082,320.640049451887,263.5479457977676,2240.9993,102.61920000000008,991.1497,-1.7843000000000302
1857,1857.0,1857.0,1857.0,1857.0,1857.0,1857.0,1857.0,1857.0,1857.0,7.0,0.7,314.6303,309.7245,305.7589,302.6042,300.1568,298.331,297.0502,296.2381,295.8083,295.6542,295.6396,295.5934,295.3097,294.5575,293.1006,290.727,287.2849,282.7184,277.0927,270.6014,323.63969193853336,202.28030642280035,2343.6185,221.57409999999985,888.5304999999998,-4.118999999999971
1858,1858.0,1858.0,1858.0,1858.0,1858.0,1858.0,1858.0,1858.0,1858.0,8.0,0.8,316.8603,311.2622,306.6558,302.8823,299.8009,297.2794,295.1856,293.3799,291.708,289.9933,288.0309,285.5833,282.3819,278.1362,272.5526,265.3641,256.3674,245.4606,232.6736,218.1795,207.0688707297028,307.4090224996693,2565.1926,352.06179999999995,666.9564,-6.920599999999979
1859,1859.0,1859.0,1859.0,1859.0,1859.0,1859.0,1859.0,1859.0,1859.0,9.0,0.9,223.402,238.1758,250.9271,261.3783,269.4568,275.2739,279.0779,281.199,282.0004,281.8471,281.0926,280.0809,279.1542,278.6562,278.9233,280.2609,282.9073,286.9975,292.5386,299.4124,427.8234735335044,357.789637026053,2917.2544,314.8946000000001,314.8946000000001,-30.776099999999985
1860,1860.0,1860.0,1860.0,1860.0,1860.0,1860.0,1860.0,1860.0,1860.0,0.0,0.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,213.6193316347891,358.1226621863177,0.0,442.2148,3557.8287,-20.0
1861,1861.0,1861.0,1861.0,1861.0,1861.0,1861.0,1861.0,1861.0,1861.0,1.0,0.1,225.1195,235.4551,244.431,251.9465,258.0092,262.7287,266.2957,268.9563,270.9887,272.6879,274.3603,276.3234,278.9081,282.4554,287.3051,293.7759,302.1417,312.6147,325.347,340.4621,386.9071250864112,332.8654684111624,442.2148,334.9679,3115.6139,-31.321300000000008
1862,1862.0,1862.0,1862.0,1862.0,1862.0,1862.0,1862.0,1862.0,1862.0,2.0,0.2,360.9976,338.9815,320.6622,305.9358,294.6474,286.5265,281.1892,278.1824,277.0439,277.3563,278.781,281.0701,284.0617,287.665,291.8452,296.6129,302.0207,308.1668,315.202,323.3396,179.19930860712606,208.0107059362294,777.1827,292.07240000000013,2780.646,-8.67349999999999
1863,1863.0,1863.0,1863.0,1863.0,1863.0,1863.0,1863.0,1863.0,1863.0,3.0,0.3,200.8059,220.3479,237.1489,250.8413,261.3932,269.0635,274.3067,277.6593,279.6315,280.6238,280.8736,280.4348,279.1859,276.8634,273.1157,267.5736,259.9297,250.0148,237.857,223.7057,175.35839276978325,207.0227822314954,1069.2551,606.8808999999999,2488.5736,-27.38650000000001
1864,1864.0,1864.0,1864.0,1864.0,1864.0,1864.0,1864.0,1864.0,1864.0,4.0,0.4,191.8071,206.8394,220.288,232.0426,242.0546,250.3331,256.9328,261.9382,265.4458,267.548,268.3211,267.8176,266.0641,263.0651,258.8097,253.2828,246.476,238.3983,229.0838,218.5953,441.7696735739209,444.9145972570989,1676.136,622.3135000000002,1881.6927,-47.46690000000001
1865,1865.0,1865.0,1865.0,1865.0,1865.0,1865.0,1865.0,1865.0,1865.0,5.0,0.5,401.2638,367.4253,339.424,316.8461,299.3353,286.4178,277.4702,271.7841,268.6769,267.6058,268.2564,270.5887,274.8376,281.468,291.0921,304.3671,321.899,344.1911,371.6832,404.9232,349.7287198608749,293.6503295727387,2298.4495,206.2057,1259.3792,-12.8322
1866,1866.0,1866.0,1866.0,1866.0,1866.0,1866.0,1866.0,1866.0,1866.0,6.0,0.6,337.7888,327.6889,318.9695,311.3293,304.6149,298.7964,293.929,290.1071,287.4174,285.8972,285.5051,286.1045,287.4636,289.2736,291.1849,292.8594,294.0312,294.5665,294.505,294.0717,303.51630073003946,184.4890267398425,2504.6552,252.18359999999984,1053.1735,-2.003600000000006
1867,1867.0,1867.0,1867.0,1867.0,1867.0,1867.0,1867.0,1867.0,1867.0,7.0,0.7,301.3711,299.6991,298.2562,296.8667,295.43,293.9115,292.3199,290.6767,288.9815,287.1808,285.1424,282.6409,279.358,274.8994,268.8311,260.7352,250.2776,237.2786,221.7689,204.0135,248.3496051029433,397.9637686080637,2756.8388,355.4369000000001,800.9899,-8.538499999999999
1868,1868.0,1868.0,1868.0,1868.0,1868.0,1868.0,1868.0,1868.0,1868.0,8.0,0.8,255.9817,262.8741,268.7943,273.5908,277.208,279.6831,281.1347,281.7471,281.7619,281.4783,281.2633,281.5648,282.9171,285.9277,291.24,299.4705,311.1392,326.6174,346.1269,369.8209,450.71882507087497,276.9755126751776,3112.2757,231.69709999999984,445.5529999999999,-24.516899999999964
