,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,t,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,u0,u1,L,inst_cost,ctg,path_diff
2645,2645.0,2645.0,2645.0,2645.0,2645.0,2645.0,2645.0,2645.0,2645.0,2645.0,5.0,,,,,,0.5,359.1716,347.2266,337.5952,329.8548,323.6875,318.8536,315.1728,312.5125,310.7797,309.9153,309.8914,310.7096,312.4011,315.0282,318.6873,323.5138,329.6893,337.4541,347.1238,359.1175,371.0,371.0,709.3244,66.7518,468.8267000000001,14.8236
2646,2646.0,2646.0,2646.0,2646.0,2646.0,2646.0,2646.0,2646.0,2646.0,2646.0,6.0,,,,,,0.6,356.7034,345.166,335.8428,328.3293,322.3232,317.5988,313.9895,311.3749,309.6724,308.8299,308.8231,309.6526,311.344,313.9502,317.5548,322.2784,328.2877,335.8081,345.1412,356.6905,177.06060606060606,204.3030303030303,776.0762,90.2042,402.07490000000007,14.8236
2647,2647.0,2647.0,2647.0,2647.0,2647.0,2647.0,2647.0,2647.0,2647.0,2647.0,7.0,,,,,,0.7,202.3106,225.3482,245.3881,261.9835,275.0517,284.8233,291.7415,296.3443,299.1526,300.5827,300.8875,300.1288,298.1786,294.748,289.4425,281.8409,271.5906,258.5063,242.6513,224.377,471.0,471.0,866.2804,211.94310000000007,311.87070000000006,14.8236
2648,2648.0,2648.0,2648.0,2648.0,2648.0,2648.0,2648.0,2648.0,2648.0,2648.0,8.0,,,,,,0.8,426.9636,391.3526,362.6491,339.9956,322.7355,310.189,301.5939,296.1532,293.1334,291.9687,292.3421,294.2276,297.8892,303.8382,312.7559,325.397,342.502,364.7591,392.8663,427.7488,317.45454545454544,461.8787878787879,1078.2235,68.69169999999986,99.92759999999998,14.8236
2649,2649.0,2649.0,2649.0,2649.0,2649.0,2649.0,2649.0,2649.0,2649.0,2649.0,9.0,,,,,,0.9,315.3396,313.8575,312.5484,311.1177,309.4583,307.6394,305.8691,304.4435,303.696,303.9575,305.5328,308.6928,313.6809,320.729,330.0813,342.0269,356.9449,375.3687,398.0852,426.2934,243.72727272727272,473.0,1146.9152,31.23590000000013,31.23590000000013,14.8236
2650,2650.0,2650.0,2650.0,2650.0,2650.0,2650.0,2650.0,2650.0,2650.0,2650.0,0.0,,,,,,0.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,472.0,472.0,0.0,351.9419,1180.2587,14.835699999999974
2651,2651.0,2651.0,2651.0,2651.0,2651.0,2651.0,2651.0,2651.0,2651.0,2651.0,1.0,,,,,,0.1,427.7969,391.8848,362.5557,338.848,320.1094,305.7709,295.2609,288.0103,283.5064,281.3597,281.3597,283.5064,288.0103,295.2609,305.7709,320.1094,338.848,362.5557,391.8848,427.7969,472.0,471.0,351.9419,135.0987,828.3168000000001,14.835699999999974
2652,2652.0,2652.0,2652.0,2652.0,2652.0,2652.0,2652.0,2652.0,2652.0,2652.0,2.0,,,,,,0.2,433.2027,402.4283,377.5808,357.3644,340.9589,327.8357,317.6496,310.1738,305.2608,302.821,302.8112,305.2296,310.1158,317.5557,327.6929,340.7506,357.0697,377.1738,401.8761,432.4601,373.0,373.0,487.0406,86.37209999999999,693.2181,14.835699999999974
2653,2653.0,2653.0,2653.0,2653.0,2653.0,2653.0,2653.0,2653.0,2653.0,2653.0,3.0,,,,,,0.3,360.2513,350.1259,341.8733,334.9626,329.0649,324.0265,319.8286,316.5382,314.2585,313.0853,313.075,314.2284,316.4902,319.7664,323.9551,328.9902,334.8915,341.8126,350.0816,360.228,374.0,373.0,573.4127,67.83699999999999,606.8460000000001,14.835699999999974
2654,2654.0,2654.0,2654.0,2654.0,2654.0,2654.0,2654.0,2654.0,2654.0,2654.0,4.0,,,,,,0.4,359.4999,347.8693,338.5238,331.029,325.0602,320.3767,316.8028,314.2142,312.527,311.6894,311.6762,312.4858,314.1397,316.6861,320.2051,324.817,330.6936,338.0716,347.2713,358.7219,371.0,372.0,641.2497,66.02170000000001,539.0090000000001,14.835699999999974
