,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,t,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,u0,u1,L,inst_cost,ctg,path_diff
3046,6.0,,,,,,,,,,,,0.6,274.8799,279.2724,283.5705,287.7466,291.7912,295.7124,299.5332,303.2872,307.0162,310.7699,314.6071,318.5987,322.8283,327.3902,332.3804,337.8825,343.9496,350.5851,357.7301,365.2609,280.69230769230774,346.3589743589744,626.9221,9.709799999999971,39.43150000000003,-17.287599999999998
3047,7.0,,,,,,,,,,,,0.7,283.1158,285.6098,288.2357,291.039,294.0455,297.2624,300.681,304.2813,308.035,311.9066,315.8527,319.8195,323.7414,327.5421,331.1402,334.4605,337.4479,340.0822,342.3893,344.4432,268.43589743589746,371.0,636.6319,10.970100000000002,29.72170000000005,-15.737599999999986
3048,8.0,,,,,,,,,,,,0.8,273.4103,278.3152,283.0923,287.7028,292.1317,296.3865,300.4937,304.4923,308.4292,312.3562,316.3295,320.411,324.6691,329.1769,334.0074,339.223,344.8626,350.9279,357.3745,364.1094,276.56410256410254,351.4871794871795,647.602,8.394000000000005,18.751600000000053,-16.613499999999988
3049,9.0,,,,,,,,,,,,0.9,279.7627,283.0079,286.3397,289.7866,293.3635,297.0725,300.9052,304.8463,308.8757,312.9697,317.0994,321.229,325.3143,329.303,333.139,336.7695,340.156,343.2848,346.1752,348.8815,264.3076923076923,374.0,655.996,10.357600000000048,10.357600000000048,-15.927500000000007
3050,0.0,,,,,,,,,,,,0.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,372.0,373.0,0.0,368.9561,662.6418,-40.0
3051,1.0,,,,,,,,,,,,0.1,355.1287,339.0291,324.3686,311.6303,301.0746,292.7464,286.5211,282.1741,279.4563,278.1616,278.1753,279.5,282.2551,286.6516,292.9428,301.3567,312.0198,324.8872,339.696,355.9583,368.8717948717949,372.0,368.9561,149.68290000000002,293.6857,-20.25360000000001
3052,2.0,,,,,,,,,,,,0.2,357.6021,346.6153,336.1821,326.5507,317.9376,310.5233,304.4502,299.8247,296.7215,295.1885,295.2516,296.9174,300.1726,304.9815,311.28,318.9698,327.9127,337.9277,348.7918,360.245,266.3076923076923,373.0,518.639,53.525999999999954,144.00279999999998,-2.476699999999994
3053,3.0,,,,,,,,,,,,0.3,275.0685,283.2318,290.3041,295.9754,300.1574,302.9759,304.7263,305.8074,306.6525,307.6708,309.2073,311.5219,314.7851,319.0833,324.4305,330.7796,338.0349,346.0612,354.6926,363.7403,259.1794871794872,371.0,572.165,17.0462,90.47680000000004,-10.024099999999976
3054,4.0,,,,,,,,,,,,0.4,265.981,272.598,278.8696,284.6785,289.9639,294.7258,299.0217,302.9562,306.6661,310.3045,314.024,317.9634,322.2361,326.923,332.0691,337.6831,343.7399,350.1853,356.9421,363.9155,284.8205128205128,337.1025641025641,589.2112,11.979800000000068,73.43060000000003,-18.274200000000008
3055,5.0,,,,,,,,,,,,0.5,286.1269,287.5789,289.2999,291.3754,293.8447,296.7035,299.9125,303.4095,307.1196,310.9618,314.8503,318.6921,322.3853,325.8196,328.8836,331.4787,333.5386,335.0479,336.0568,336.6833,269.43589743589746,371.0,601.191,13.755899999999995,61.45079999999996,-16.29649999999998
3056,6.0,,,,,,,,,,,,0.6,274.2415,278.9718,283.564,287.9769,292.1957,296.2297,300.1079,303.8723,307.5726,311.2642,315.0093,318.8793,322.9577,327.3378,332.1158,337.377,343.1774,349.5249,356.3656,363.5814,273.56410256410254,351.4871794871795,614.9469,10.224299999999973,47.69489999999996,-16.77030000000002
3057,7.0,,,,,,,,,,,,0.7,277.2488,280.9483,284.6755,288.4397,292.2467,296.0989,299.9974,303.9418,307.9307,311.9597,316.0188,320.0888,324.1396,328.1296,332.01,335.7319,339.2567,342.5671,345.675,348.6246,256.05128205128204,372.0,625.1712,13.648699999999964,37.47059999999999,-16.901099999999985
3058,8.0,,,,,,,,,,,,0.8,262.822,269.4625,275.8611,281.9385,287.6548,293.0098,298.0362,302.7903,307.3424,311.7698,316.1524,320.5717,325.1096,329.8472,334.8599,340.2096,345.9337,352.035,358.474,365.1682,291.948717948718,325.84615384615387,638.8199,10.971000000000004,23.821900000000028,-19.990200000000016
3059,9.0,,,,,,,,,,,,0.9,291.7987,291.8861,292.4136,293.522,295.2771,297.6712,300.6356,304.0587,307.8037,311.7206,315.6524,319.4362,322.903,325.882,328.2107,329.7547,330.4325,330.2411,329.2728,327.7176,276.56410256410254,371.0,649.7909,12.850900000000024,12.850900000000024,-15.3288
