,,xi_0,xi_1,ui_0,xf_0,xf_1,uf_0
170,2,-0.483450079,-0.286723256,0.100458788,0.104875824,0.054135522,-0.019201143
171,3,0.104875824,0.054135522,-0.019201143,-0.022683806,-0.010076967,0.003618622
172,4,-0.022683806,-0.010076967,0.003618622,0.005002043,0.001883268,-0.000644857
173,5,0.005002043,0.001883268,-0.000644857,5,7,2.042692541
174,0,5,7,2.042692541,-1.152987885,-1.989209982,0.502174467
175,1,-1.152987885,-1.989209982,0.502174467,0.260265741,0.286085496,-0.126807612
176,2,0.260265741,0.286085496,-0.126807612,-0.058665475,-0.080202821,0.016436264
177,3,-0.058665475,-0.080202821,0.016436264,0.012929879,0.00533119,-0.007021617
178,4,0.012929879,0.00533119,-0.007021617,-0.003004406,-0.007623696,-0.001000411
179,5,-0.003004406,-0.007623696,-0.001000411,3,-1,1.5
180,0,3,-1,1.5,-0.622135754,0.193876835,-0.051443733
181,1,-0.622135754,0.193876835,-0.051443733,0.12862952,-0.047393,0.012982647
182,2,0.12862952,-0.047393,0.012982647,-0.026513851,0.011319065,-0.00317339
183,3,-0.026513851,0.011319065,-0.00317339,0.005453407,-0.002658258,0.00075653
184,4,0.005453407,-0.002658258,0.00075653,-0.001144014,0.000629961,-0.00017011
185,5,-0.001144014,0.000629961,-0.00017011,-1,1,-0.5
186,0,-1,1,-0.5,0.195338221,-0.28743719,0.088897853
187,1,0.195338221,-0.28743719,0.088897853,-0.037840926,0.061998455,-0.019249183
188,2,-0.037840926,0.061998455,-0.019249183,0.007259895,-0.013324484,0.004151608
189,3,0.007259895,-0.013324484,0.004151608,-0.001378184,0.002856649,-0.000890605
190,4,-0.001378184,0.002856649,-0.000890605,0.000263948,-0.00062479,0.000182806
191,5,0.000263948,-0.00062479,0.000182806,-3,2,-1.453960985
192,0,-3,2,-1.453960985,0.602409886,-0.613761745,0.134972298
193,1,0.602409886,-0.613761745,0.134972298,-0.120769914,0.10976901,-0.039170807
194,2,-0.120769914,0.10976901,-0.039170807,0.024014579,-0.028941829,0.006805332
195,3,0.024014579,-0.028941829,0.006805332,-0.004793421,0.0041576,-0.002266403
196,4,-0.004793421,0.0041576,-0.002266403,0.00095288,-0.002270168,-2.22E-06
197,5,0.00095288,-0.002270168,-2.22E-06,-1,-5,-0.5
198,0,-1,-5,-0.5,0.265994538,1.020085197,-0.332151482
199,1,0.265994538,1.020085197,-0.332151482,-0.067391163,-0.209121071,0.068315255
200,2,-0.067391163,-0.209121071,0.068315255,0.016520378,0.042726243,-0.01400377
201,3,0.016520378,0.042726243,-0.01400377,-0.003957988,-0.008707183,0.002855875
202,4,-0.003957988,-0.008707183,0.002855875,0.000952825,0.001809394,-0.0005572
203,5,0.000952825,0.001809394,-0.0005572,-4,3,-1.889879242
204,0,-4,3,-1.889879242,0.790507781,-1.194134031,0.167383384
205,1,0.790507781,-1.194134031,0.167383384,-0.157359191,0.142085363,-0.073056593
206,2,-0.157359191,0.142085363,-0.073056593,0.03076559,-0.055004562,0.006787767
207,3,0.03076559,-0.055004562,0.006787767,-0.006177515,0.001103029,-0.005337008
208,4,-0.006177515,0.001103029,-0.005337008,0.001159911,-0.006945183,-0.001270995
209,5,0.001159911,-0.006945183,-0.001270995,4,2,1.853450095
210,0,4,2,1.853450095,-0.869363703,-0.536086889,0.133648034
211,1,-0.869363703,-0.536086889,0.133648034,0.187809651,0.076869046,-0.033955565
212,2,0.187809651,0.076869046,-0.033955565,-0.04049904,-0.018591923,0.00460256
213,3,-0.04049904,-0.018591923,0.00460256,0.008669434,0.00126853,-0.001574653
214,4,0.008669434,0.00126853,-0.001574653,-0.001913588,-0.001497842,-0.000187088
215,5,-0.001913588,-0.001497842,-0.000187088,-4,-1,-2
216,0,-4,-1,-2,0.84965989,0.114298714,-0.051458066
217,1,0.84965989,0.114298714,-0.051458066,-0.1799314,-0.014111024,0.007656202
218,2,-0.1799314,-0.014111024,0.007656202,0.037992153,0.000889116,-0.00094528
219,3,0.037992153,0.000889116,-0.00094528,-0.008006764,0.000247259,5.95E-05
220,4,-0.008006764,0.000247259,5.95E-05,0.001721765,-0.000145913,1.58E-05
221,5,0.001721765,-0.000145913,1.58E-05,-9,4,-3.323979851
222,0,-9,4,-3.323979851,1.829029995,-1.466983958,0.255411914
223,1,1.829029995,-1.466983958,0.255411914,-0.372629992,0.210855887,-0.091522504
