,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,t,x0,x1,u,L,inst_cost,ctg,path_diff
96,96,96.0,96.0,96.0,,,,,,,,,,,,,0.6,-0.3307865752,-0.5061029419,0.1203841331416493,0.2266737262,0.0353018501,0.136956693,-0.0861029419
97,97,97.0,97.0,97.0,,,,,,,,,,,,,0.7,-0.3783663654,-0.4464847385,0.9315679811501532,0.2619755763,0.0308918779999999,0.1016548428999999,-0.2664847384999998
98,98,98.0,98.0,98.0,,,,,,,,,,,,,0.8,-0.416348653,-0.3153456527,-1.298913409651734,0.2928674543,0.0329098468,0.0707629649,-0.5353456527000002
99,99,99.0,99.0,99.0,,,,,,,,,,,,,0.9,-0.4526411553,-0.4089444914,-0.0925947660109633,0.3257773011,0.0378531180999999,0.0378531180999999,-1.1889444914000002
100,100,100.0,100.0,100.0,,,,,,,,,,,,,0.0,0.0,-1.0,4.35476949186288,0.0,0.0667654276,0.356850417,0.1249774012
101,101,101.0,101.0,101.0,,,,,,,,,,,,,0.1,-0.0740967459,-0.490426305,-1.4038231460497033,0.0667654276,0.0306551681,0.2900849894,0.1249774012
102,102,102.0,102.0,102.0,,,,,,,,,,,,,0.2,-0.1275578435,-0.5773475219,-0.2987757111615399,0.0974205957,0.0343050742999999,0.2594298213,0.1249774012
103,103,103.0,103.0,103.0,,,,,,,,,,,,,0.3,-0.1839450779,-0.5508378587,-0.0333631691798526,0.13172567,0.0321279952,0.225124747,0.1249774012
104,104,104.0,104.0,104.0,,,,,,,,,,,,,0.4,-0.2365256134,-0.50159364,0.828456606474891,0.1638536652,0.0263426213999999,0.1929967517999999,0.1249774012
105,105,105.0,105.0,105.0,,,,,,,,,,,,,0.5,-0.280250994,-0.3750225988,-2.395712518013994,0.1901962866,0.034685429,0.1666541304,0.1249774012
106,106,106.0,106.0,106.0,,,,,,,,,,,,,0.6,-0.3275281888,-0.5673166558,0.7301573142096431,0.2248817156,0.0383884207,0.1319687013999999,0.1249774012
107,107,107.0,107.0,107.0,,,,,,,,,,,,,0.7,-0.3779834715,-0.4438456417,0.9861612865159686,0.2632701363,0.0305184213999999,0.0935802806999999,0.1249774012
108,108,108.0,108.0,108.0,,,,,,,,,,,,,0.8,-0.4154505203,-0.3077624642,-0.6443763171803547,0.2937885577,0.0293353364999999,0.0630618592999999,0.1249774012
109,109,109.0,109.0,109.0,,,,,,,,,,,,,0.9,-0.4478548215,-0.3397957947,-0.4695679164655717,0.3231238942,0.0337265227999999,0.0337265227999999,0.1249774012
110,110,110.0,110.0,110.0,,,,,,,,,,,,,0.0,0.0,-1.0,3.6614603543691375,0.0,0.0685585777,0.3559657935,0.0102029298999999
111,111,111.0,111.0,111.0,,,,,,,,,,,,,0.1,-0.0774505657,-0.5564033989,-0.5090242677743138,0.0685585777,0.0319658409,0.2874072158,0.0102029298999999
112,112,112.0,112.0,112.0,,,,,,,,,,,,,0.2,-0.1328617122,-0.5518946792,0.6824750146528233,0.1005244186,0.027102917,0.2554413749,0.0102029298999999
113,113,113.0,113.0,113.0,,,,,,,,,,,,,0.3,-0.182080009,-0.4344288809,-1.450990367713179,0.1276273356,0.0287585941,0.2283384579,0.0102029298999999
114,114,114.0,114.0,114.0,,,,,,,,,,,,,0.4,-0.2304404416,-0.5311674851,-0.0964334352437525,0.1563859297,0.0326331336999999,0.1995798638,0.0102029298999999
115,115,115.0,115.0,115.0,,,,,,,,,,,,,0.5,-0.2814542,-0.4897970701,-0.9255106696096363,0.1890190634,0.0359673242,0.1669467301,0.0102029298999999
116,116,116.0,116.0,116.0,,,,,,,,,,,,,0.6,-0.3325415853,-0.5312607519,1.506548161512998,0.2249863876,0.0328447047,0.1309794059,0.0102029298999999
117,117,117.0,117.0,117.0,,,,,,,,,,,,,0.7,-0.375810043,-0.3373374779,-0.981275904850305,0.2578310923,0.029604487,0.0981347012,0.0102029298999999
118,118,118.0,118.0,118.0,,,,,,,,,,,,,0.8,-0.412658647,-0.3986164644,-0.1266196931682499,0.2874355793,0.0335593190999999,0.0685302142,0.0102029298999999
119,119,119.0,119.0,119.0,,,,,,,,,,,,,0.9,-0.4512047377,-0.3727323431,-0.0969764485158715,0.3209948984,0.0349708951,0.0349708951,0.0102029298999999
120,120,120.0,120.0,,,,,,,,,,,,,,0.0,0.0,-1.0,7.528065948203457,0.0,0.068494687,3.0503353991,0.3921531994
121,121,121.0,121.0,,,,,,,,,,,,,,0.1,-0.0587461797,-0.1884472254,-20.99056757461473,0.068494687,0.3968569068,2.9818407121000003,0.3921531994
122,122,122.0,122.0,,,,,,,,,,,,,,0.2,-0.1782194521,-2.1680307106,18.84686586328736,0.4653515938,0.3499984349999999,2.5849838053000003,0.3921531994
123,123,123.0,123.0,,,,,,,,,,,,,,0.3,-0.2933646876,-0.1681988887,-20.802430526614845,0.8153500288,0.3959009692999999,2.2349853703000004,0.3921531994
124,124,124.0,124.0,,,,,,,,,,,,,,0.4,-0.4100009691,-2.1318056599,19.136625714617995,1.2112509981,0.3622296003,1.8390844010000005,0.3921531994
125,125,125.0,125.0,,,,,,,,,,,,,,0.5,-0.5202972569,-0.1078468006,-20.24046273468105,1.5734805984,0.3837240296999999,1.4768548007000002,0.3921531994
126,126,126.0,126.0,,,,,,,,,,,,,,0.6,-0.6284718038,-2.0237185272,16.55441139471471,1.9572046281,0.3386642451999999,1.0931307710000002,0.3921531994
