,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,t,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,u0,u1,L,inst_cost,ctg,path_diff
35,35,35.0,35.0,35.0,35.0,,,,,,,,,,,,,,,,,,,,,,0.5,360.8066,350.9018,341.5507,332.975,325.3373,318.7325,313.1855,308.656,305.047,302.2166,299.9905,298.175,296.5688,294.9762,293.2196,291.1549,288.6855,285.7748,282.4527,278.8128,373.0,373.0,931.6417,167.97159999999997,868.0583,39.7267
36,36,36.0,36.0,36.0,36.0,,,,,,,,,,,,,,,,,,,,,,0.6,364.6328,356.4198,348.5057,341.0179,334.0615,327.7186,322.0517,317.1125,312.9556,309.6543,307.3174,306.1021,306.2167,307.9083,311.4314,316.9982,324.7174,334.535,346.1941,359.2287,373.0,373.0,1099.6133,118.6395,700.0867000000001,39.7267
37,37,37.0,37.0,37.0,37.0,,,,,,,,,,,,,,,,,,,,,,0.7,365.9952,359.1034,352.4369,346.1069,340.2234,334.8951,330.23,326.3352,323.3168,321.2773,320.3132,320.509,321.9301,324.6148,328.5653,333.7396,340.0459,347.3399,355.4274,364.0705,372.0,373.0,1218.2528,136.28379999999993,581.4472000000001,39.7267
38,38,38.0,38.0,38.0,38.0,,,,,,,,,,,,,,,,,,,,,,0.8,366.3636,360.8274,355.4917,350.4574,345.8248,341.6931,338.1577,335.3086,333.2265,331.9805,331.6243,332.1932,333.7011,336.1382,339.4689,343.6308,348.5354,354.0688,360.0953,366.4612,373.0,371.0,1354.5366,190.5452,445.16340000000014,39.7267
39,39,39.0,39.0,39.0,39.0,,,,,,,,,,,,,,,,,,,,,,0.9,368.2535,363.6079,359.1617,355.0093,351.2387,347.9305,345.1562,342.977,341.4426,340.59,340.4414,341.0031,342.2643,344.1969,346.7554,349.8785,353.4909,357.5064,361.8303,366.3627,371.0,371.0,1545.0818,254.6182000000001,254.6182000000001,39.7267
40,40,40.0,40.0,40.0,40.0,,,,,,,,,,,,,,,,,,,,,,0.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,371.0,373.0,0.0,369.1274,1768.1129000000003,39.2439
41,41,41.0,41.0,41.0,41.0,,,,,,,,,,,,,,,,,,,,,,0.1,354.2992,338.3622,323.8499,311.2404,300.7918,292.5485,286.3876,282.0873,279.4019,278.1287,278.1562,279.4893,282.2493,286.6486,292.9413,301.356,312.0195,324.887,339.6959,355.9582,373.0,340.0,369.1274,157.7475,1398.9855000000002,39.2439
42,42,42.0,42.0,42.0,42.0,,,,,,,,,,,,,,,,,,,,,,0.2,360.9763,349.272,338.1889,327.9957,318.9171,311.1276,304.7504,299.8599,296.4855,294.6163,294.2036,295.163,297.3756,300.6904,304.9312,309.9075,315.4292,321.3234,327.4481,333.6977,227.0,272.0,526.8749,99.81949999999996,1241.2380000000005,39.2439
43,43,43.0,43.0,43.0,43.0,,,,,,,,,,,,,,,,,,,,,,0.3,242.589,257.2437,270.1772,280.8628,289.0859,294.9323,298.7202,300.9028,301.9634,302.3261,302.2944,302.0206,301.5061,300.6277,299.1834,296.9523,293.7582,289.5272,284.3255,278.3692,371.0,275.0,626.6944,135.95490000000007,1141.4185000000002,39.2439
44,44,44.0,44.0,44.0,44.0,,,,,,,,,,,,,,,,,,,,,,0.4,356.5406,342.917,330.8328,320.7598,312.8918,307.1555,303.2691,300.8242,299.3702,298.4814,297.7999,297.0539,296.0567,294.6961,292.9188,290.7167,288.1154,285.1661,281.9391,278.519,353.0,274.0,762.6493,172.36090000000002,1005.4636,39.2439
