,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1,t,x0,x1,u,L,inst_cost,ctg,path_diff
922,922,922.0,922.0,922.0,922.0,922.0,922.0,922.0,2.0,,,,,,,0.2,-0.104483709,-0.308996397,-2.128093849848807,0.0789073693,0.0197978216,0.3631998335999999,0.0341926876
923,923,923.0,923.0,923.0,923.0,923.0,923.0,923.0,3.0,,,,,,,0.3,-0.1441830893,-0.4821064017,0.5298364944239453,0.0987051909,0.0217723729999999,0.343402012,0.0341926876
924,924,924.0,924.0,924.0,924.0,924.0,924.0,924.0,4.0,,,,,,,0.4,-0.1874985292,-0.3858073124,-1.5857194851492826,0.1204775639,0.0254400183999999,0.3216296389999999,0.0341926876
925,925,925.0,925.0,925.0,925.0,925.0,925.0,925.0,5.0,,,,,,,0.5,-0.2318837309,-0.4999940592,-2.8781974034069835,0.1459175823,0.0492264585,0.2961896206,0.0341926876
926,926,926.0,926.0,926.0,926.0,926.0,926.0,926.0,6.0,,,,,,,0.6,-0.2933875025,-0.726310028,4.868605907753765,0.1951440408,0.0452733005,0.2469631621,0.0341926876
927,927,927.0,927.0,927.0,927.0,927.0,927.0,927.0,7.0,,,,,,,0.7,-0.3389535951,-0.1938833445,-4.25892950643722,0.2404173413,0.0382020996,0.2016898616,0.0341926876
928,928,928.0,928.0,928.0,928.0,928.0,928.0,928.0,8.0,,,,,,,0.8,-0.3780061276,-0.5807237627,-2.032428138028239,0.2786194409,0.0613943403999999,0.1634877619999999,0.0341926876
929,929,929.0,929.0,929.0,929.0,929.0,929.0,929.0,9.0,,,,,,,0.9,-0.4431009696,-0.7188717345,-3.4275537327830747,0.3400137813,0.1020934216,0.1020934216,0.0341926876
930,930,930.0,930.0,930.0,930.0,930.0,930.0,930.0,0.0,,,,,,,0.0,0.0,-1.0,6.879248023943272,0.0,0.0668144854,0.4633964545,0.0044570301
931,931,931.0,931.0,931.0,931.0,931.0,931.0,931.0,1.0,,,,,,,0.1,-0.0618847833,-0.2501904143,-2.603970919642791,0.0668144854,0.0176847739,0.3965819691,0.0044570301
